"RANK","NAME","Position","Team","BYE","TIER","UP","DOWN","TARGET","WIN"
"79","Ray Davis","RB","BUF","7","15","false","false","false","false"
"80","Devin Singletary","RB","NYG","8","15","false","false","false","false"
"81","Emari Demercado","RB","KC","5","15","false","false","false","false"
"82","Trevor Etienne","RB","CAR","2","15","false","false","false","false"
"83","Seth McGowan","RB","IND","13","15","false","false","false","false"
"84","DJ Giddens","RB","IND","13","16","false","false","false","false"
"85","Trey Benson","RB","ARI","2","16","false","false","false","false"
"86","Raheim Sanders","RB","CLE","11","16","false","false","false","false"
"87","Kendre Miller","RB","NO","8","16","false","false","false","false"
"88","Zavier Scott","RB","MIN","6","16","false","false","false","false"
"89","Will Shipley","RB","PHI","10","16","false","false","false","false"
"90","Roschon Johnson","RB","CHI","10","16","false","false","false","false"
