"RANK","NAME","Position","Team","BYE","TIER","UP","DOWN","TARGET","WIN"
"52","Jordyn Tyson","WR","NO","8","11","false","false","false","false"
"53","Quentin Johnston","WR","LAC","7","11","true","false","false","false"
"54","Deebo Samuel Sr.","WR","SF","8","11","false","false","true","false"
"55","Tre Tucker","WR","LV","13","12","false","false","true","false"
"56","Romeo Doubs","WR","NE","11","12","false","false","false","false"
"57","Jalen Nailor","WR","LV","13","12","true","false","true","false"
"58","Khalil Shakir","WR","BUF","7","12","false","false","false","false"
"59","Denzel Boston","WR","CLE","11","12","true","false","false","false"
"60","Jerry Jeudy","WR","CLE","11","12","true","false","true","false"
"61","Jaylin Noel","WR","HOU","8","13","true","false","true","false"
"62","Omar Cooper Jr.","WR","NYJ","13","13","false","false","false","false"
"63","Jalen McMillan","WR","TB","10","13","true","true","false","false"
"64","Jauan Jennings","WR","MIN","6","14","false","false","false","false"
"65","Cooper Kupp","WR","SEA","11","14","false","false","false","false"
"66","Dontayvion Wicks","WR","PHI","10","14","true","false","false","false"
"67","Zachariah Branch","WR","ATL","11","14","true","false","true","false"
"68","Keenan Allen","WR","IND","13","15","false","false","false","false"
"69","Adonai Mitchell","WR","NYJ","13","15","false","false","false","false"
"70","Calvin Ridley","WR","TEN","9","15","true","false","false","false"
"71","Devaughn Vele","WR","NO","8","15","true","false","true","false"
"72","Ryan Flournoy","WR","DAL","14","16","true","false","false","false"
"73","Caleb Douglas","WR","MIA","6","16","false","false","false","false"
"74","Ja'Kobi Lane","WR","BAL","13","16","true","false","false","false"
"75","Kayshon Boutte","WR","NE","11","16","true","false","true","false"
"76","Kalif Raymond","WR","CHI","10","17","false","false","false","false"
"77","Rashid Shaheed","WR","SEA","11","17","false","false","false","false"
"78","Malachi Fields","WR","NYG","8","17","true","false","false","false"
"79","Rashod Bateman","WR","BAL","13","17","false","false","false","false"
"80","Greg Dortch","WR","DET","6","17","false","false","false","false"
"81","Antonio Williams","WR","WAS","7","17","true","false","false","false"
"82","Pat Bryant","WR","DEN","10","18","true","false","false","false"
"83","Tank Dell","WR","HOU","8","18","false","false","false","false"
"84","Darnell Mooney","WR","NYG","8","18","false","false","false","false"
"85","Malik Washington","WR","MIA","6","18","false","false","false","false"
"86","Germie Bernard","WR","PIT","9","18","true","false","false","false"
"87","Troy Franklin","WR","DEN","10","18","false","false","false","false"
"88","Travis Hunter","WR","JAX","7","19","false","false","false","false"
"89","Tre' Harris","WR","LAC","7","19","false","false","false","false"
"90","Cyrus Allen","WR","KC","5","19","false","false","false","false"
"91","Tyquan Thornton","WR","KC","5","19","false","false","false","false"
"92","Marvin Mims Jr.","WR","DEN","10","19","false","false","false","false"
"93","KaVontae Turpin","WR","DAL","14","20","false","false","false","false"
"94","Jaylin Lane","WR","WAS","7","20","false","false","false","false"
"95","Tez Johnson","WR","TB","10","20","false","false","false","false"
"96","Tory Horton","WR","SEA","11","20","false","false","false","false"
"97","Roman Wilson","WR","PIT","9","20","true","false","false","false"
"98","Joshua Palmer","WR","BUF","7","20","true","false","false","false"
"99","Christian Kirk","WR","SF","8","20","false","false","false","false"
"100","Elic Ayomanor","WR","TEN","9","20","false","false","false","false"
"101","Xavier Legette","WR","CAR","2","21","false","false","false","false"
"102","Keon Coleman","WR","BUF","7","21","false","false","false","false"
"103","Nick Westbrook-Ikhine","WR","IND","13","21","false","false","false","false"
"104","Hollywood Brown","WR","PHI","10","21","false","false","false","false"
"105","Jahan Dotson","WR","ATL","11","21","false","false","false","false"
"106","Andrei Iosivas","WR","CIN","6","21","false","false","false","false"
"107","Jack Bech","WR","LV","13","21","false","false","false","false"
"108","Xavier Hutchinson","WR","HOU","8","21","false","false","false","false"
"109","Jalen Tolbert","WR","MIA","6","21","false","false","false","false"
"110","Darius Slayton","WR","NYG","8","21","false","false","false","false"
"111","Brenen Thompson","WR","LAC","7","21","false","false","false","false"
"112","Isaac TeSlaa","WR","DET","6","21","false","false","false","false"
"113","Chimere Dike","WR","TEN","9","21","false","false","false","false"
"114","Olamide Zaccheaus","WR","ATL","11","21","false","false","false","false"
"115","Ted Hurst III","WR","TB","10","22","false","false","false","false"
"116","Treylon Burks","WR","WAS","7","22","false","false","false","false"
"117","Colbie Young","WR","CIN","6","22","false","false","false","false"
"118","Chris Bell","WR","MIA","6","22","false","false","false","false"
"119","DeMario Douglas","WR","NE","11","22","false","false","false","false"
"120","Kendrick Bourne","WR","ARI","2","22","false","false","false","false"
"121","Calvin Austin III","WR","NYG","8","22","false","false","false","false"
"122","Mack Hollins","WR","NE","11","22","false","false","false","false"
"123","Elijah Moore","WR","PHI","10","22","false","false","false","false"
"124","John Metchie III","WR","CAR","2","22","false","false","false","false"
"125","Tyrell Shavers","WR","BUF","7","22","false","false","false","false"
"126","Luke McCaffrey","WR","WAS","7","22","false","false","false","false"
"127","Kyle Williams","WR","NE","11","22","false","false","false","false"
"128","Isaiah Bond","WR","CLE","11","22","false","false","false","false"
"129","Elijah Sarratt","WR","BAL","13","22","false","false","false","false"
"130","Dyami Brown","WR","WAS","7","22","false","false","false","false"
"131","Skyler Bell","WR","BUF","7","22","false","false","false","false"
"132","Bryce Lance","WR","NO","8","22","false","false","false","false"
"133","Tutu Atwell","WR","MIA","6","22","false","false","false","false"
"134","Devontez Walker","WR","BAL","13","22","false","false","false","false"
"135","Dont'e Thornton Jr.","WR","LV","13","22","false","false","false","false"
