"RANK","NAME","Position","Team","BYE","TIER","UP","DOWN","TARGET","WIN"
"79","Chris Brooks","RB","GB","11","16","false","false","false","false"
"80","Jordan James","RB","SF","8","16","false","false","false","false"
"81","Ray Davis","RB","BUF","7","16","false","false","false","false"
"82","Seth McGowan","RB","IND","13","16","false","false","false","false"
"83","Kendre Miller","RB","NO","8","16","false","false","false","false"
"84","Roschon Johnson","RB","CHI","10","17","false","false","false","false"
"85","Trevor Etienne","RB","CAR","2","17","false","false","false","false"
"86","DJ Giddens","RB","IND","13","17","false","false","false","false"
"87","Raheim Sanders","RB","CLE","11","17","false","false","false","false"
"88","Jaydon Blue","RB","PHI","10","17","false","false","false","false"
"89","Will Shipley","RB","PHI","10","17","false","false","false","false"
"90","Zavier Scott","RB","CHI","10","17","false","false","false","false"
"91","Trey Benson","RB","ARI","2","17","false","false","false","false"
